val,frq,min_freq,max_freq,FreqOverride,log_time
18,665000,204000000,665600000,1,0.4267289638519287
18,665000,204000000,665600000,1,0.4267289638519287
4,665000,204000000,665600000,1,1.0130033493041992
6,665000,204000000,665600000,1,2.430562734603882
8,665000,204000000,665600000,1,3.772128105163574
7,665000,204000000,665600000,1,5.679322719573975
9,665000,204000000,665600000,1,7.184598684310913
8,665000,204000000,665600000,1,8.480385303497314
8,665000,204000000,665600000,1,9.780547857284546
13,665000,204000000,665600000,1,11.239431858062744
52,665000,204000000,665600000,1,12.562500238418579
66,665000,204000000,665600000,1,13.893267393112183
74,665000,204000000,665600000,1,15.356882095336914
76,665000,204000000,665600000,1,16.684401988983154
77,665000,204000000,665600000,1,18.058736562728882
76,665000,204000000,665600000,1,19.406878232955933
75,665000,204000000,665600000,1,20.71725296974182
75,665000,204000000,665600000,1,22.200308084487915
76,665000,204000000,665600000,1,23.627617120742798
74,665000,204000000,665600000,1,25.081000089645386
75,665000,204000000,665600000,1,26.50828981399536
74,665000,204000000,665600000,1,27.868818998336792
74,665000,204000000,665600000,1,29.28520369529724
