val,frq,min_freq,max_freq,FreqOverride,log_time
3,2133000,204000000,2133000000,1,0.6520836353302002
3,2133000,204000000,2133000000,1,0.6520836353302002
3,665000,204000000,665600000,1,1.2147629261016846
2,665000,204000000,665600000,1,2.9695301055908203
2,665000,204000000,665600000,1,4.650112152099609
3,665000,204000000,665600000,1,6.352210283279419
7,665000,204000000,665600000,1,7.768099784851074
6,665000,204000000,665600000,1,9.10261869430542
4,665000,204000000,665600000,1,10.807920694351196
3,665000,204000000,665600000,1,12.22580099105835
3,665000,204000000,665600000,1,13.87835168838501
6,665000,204000000,665600000,1,15.2374849319458
4,665000,204000000,665600000,1,16.442558526992798
2,665000,204000000,665600000,1,17.637700080871582
2,665000,204000000,665600000,1,18.85505771636963
1,665000,204000000,665600000,1,20.093135118484497
1,665000,204000000,665600000,1,21.327268362045288
2,665000,204000000,665600000,1,22.52418565750122
2,665000,204000000,665600000,1,23.758430004119873
2,665000,204000000,665600000,1,24.994797468185425
1,665000,204000000,665600000,1,26.1855411529541
1,665000,204000000,665600000,1,27.423652410507202
2,665000,204000000,665600000,1,28.64090132713318
2,665000,204000000,665600000,1,29.847750902175903
2,665000,204000000,665600000,1,31.082433223724365
2,665000,204000000,665600000,1,32.30123805999756
2,665000,204000000,665600000,1,33.53884506225586
2,665000,204000000,665600000,1,34.78289270401001
3,665000,204000000,665600000,1,36.045382261276245
2,665000,204000000,665600000,1,37.2547881603241
2,665000,204000000,665600000,1,38.49347686767578
1,665000,204000000,665600000,1,39.70518493652344
1,665000,204000000,665600000,1,40.93842124938965
1,665000,204000000,665600000,1,42.13928270339966
1,665000,204000000,665600000,1,43.34522294998169
1,665000,204000000,665600000,1,44.56346392631531
1,665000,204000000,665600000,1,45.76177668571472
1,665000,204000000,665600000,1,46.9483060836792
1,665000,204000000,665600000,1,48.187196493148804
1,665000,204000000,665600000,1,49.38669180870056
1,665000,204000000,665600000,1,50.575124740600586
1,665000,204000000,665600000,1,51.81394815444946
1,665000,204000000,665600000,1,53.02934908866882
1,665000,204000000,665600000,1,54.22683310508728
1,665000,204000000,665600000,1,55.42722249031067
1,665000,204000000,665600000,1,56.6476993560791
1,665000,204000000,665600000,1,57.83703255653381
1,665000,204000000,665600000,1,59.0583598613739
1,665000,204000000,665600000,1,60.24342894554138
1,665000,204000000,665600000,1,61.482616901397705
1,665000,204000000,665600000,1,62.70866370201111
1,665000,204000000,665600000,1,63.89884877204895
1,665000,204000000,665600000,1,65.1033182144165
1,665000,204000000,665600000,1,66.56001305580139
1,665000,204000000,665600000,1,67.76975131034851
1,665000,204000000,665600000,1,68.98984575271606
1,665000,204000000,665600000,1,70.17170095443726
1,665000,204000000,665600000,1,71.49714088439941
1,665000,204000000,665600000,1,72.75466251373291
1,665000,204000000,665600000,1,73.97143816947937
2,665000,204000000,665600000,1,75.19076108932495
1,665000,204000000,665600000,1,76.60476422309875
2,665000,204000000,665600000,1,77.81395173072815
2,665000,204000000,665600000,1,79.14488101005554
2,665000,204000000,665600000,1,80.43046474456787
2,665000,204000000,665600000,1,81.63221263885498
1,665000,204000000,665600000,1,82.85126996040344
2,665000,204000000,665600000,1,84.0909698009491
2,665000,204000000,665600000,1,85.31159830093384
1,665000,204000000,665600000,1,86.53484416007996
1,665000,204000000,665600000,1,87.72222852706909
1,665000,204000000,665600000,1,88.9408004283905
1,665000,204000000,665600000,1,90.22488617897034
3,665000,204000000,665600000,1,91.45561671257019
10,665000,204000000,665600000,1,92.76894617080688
5,665000,204000000,665600000,1,93.95594501495361
3,665000,204000000,665600000,1,95.18223142623901
2,665000,204000000,665600000,1,96.41154837608337
2,665000,204000000,665600000,1,97.61787605285645
2,665000,204000000,665600000,1,98.81393694877625
1,665000,204000000,665600000,1,100.19821810722351
9,665000,204000000,665600000,1,101.64930319786072
36,665000,204000000,665600000,1,102.97488379478455
60,665000,204000000,665600000,1,104.30495357513428
66,665000,204000000,665600000,1,105.80543732643127
66,665000,204000000,665600000,1,107.3317551612854
68,665000,204000000,665600000,1,108.72163105010986
70,665000,204000000,665600000,1,110.00609254837036
68,665000,204000000,665600000,1,111.55388593673706
69,665000,204000000,665600000,1,112.78299069404602
69,665000,204000000,665600000,1,114.25450229644775
69,665000,204000000,665600000,1,115.58623337745667
65,665000,204000000,665600000,1,117.342214345932
68,665000,204000000,665600000,1,118.61725068092346
69,665000,204000000,665600000,1,119.94370794296265
70,665000,204000000,665600000,1,121.39801287651062
69,665000,204000000,665600000,1,122.69501733779907
69,665000,204000000,665600000,1,124.12213921546936
